Term,Type,Freq,SuggestedCategoryId,IsBrand(0|1),MultiWord(0|1),Weight(1-10),Notes
chocolate,word,727,,0,0,1,
milk,word,398,,0,0,1,
750ml,word,394,,0,0,1,
bag,word,342,,0,0,1,
share,word,332,,0,0,1,
chicken,word,325,,0,0,1,
drink,word,325,,0,0,1,
balls,word,279,,0,0,1,
protein,word,241,,0,0,1,
cream,word,223,,0,0,1,
snack,word,218,,0,0,1,
can,word,217,,0,0,1,
food,word,204,,0,0,1,
coffee,word,203,,0,0,1,
cheese,word,197,,0,0,1,
free,word,193,,0,0,1,
snacks,word,188,,0,0,1,
party,word,173,,0,0,1,
sugar,word,169,,0,0,1,
energy,word,169,,0,0,1,
pouch,word,168,,0,0,1,
bars,word,166,,0,0,1,
school,word,166,,0,0,1,
lunchbox,word,164,,0,0,1,
2,word,159,,0,0,1,
caramel,word,153,,0,0,1,
extra,word,150,,0,0,1,
strawberry,word,147,,0,0,1,
white,word,145,,0,0,1,
sauce,word,144,,0,0,1,
soft,word,143,,0,0,1,
raspberry,word,143,,0,0,1,
rice,word,142,,0,0,1,
shampoo,word,142,,0,0,1,
oil,word,141,,0,0,1,
butter,word,138,,0,0,1,
peanut,word,136,,0,0,1,
375ml,word,135,,0,0,1,
conditioner,word,134,,0,0,1,
5,word,132,,0,0,1,
beef,word,132,,0,0,1,
12,word,129,,0,0,1,
4,word,128,,0,0,1,
original,word,126,,0,0,1,
chips,word,124,,0,0,1,
5x40g,word,123,,0,0,1,
body,word,122,,0,0,1,
black,word,121,,0,0,1,
crackers,word,121,,0,0,1,
sports,word,121,,0,0,1,
bags,word,117,,0,0,1,
bottle,word,117,,0,0,1,
water,word,116,,0,0,1,
bar,word,115,,0,0,1,
zero,word,113,,0,0,1,
lemon,word,111,,0,0,1,
berry,word,111,,0,0,1,
vanilla,word,110,,0,0,1,
lip,word,110,,0,0,1,
sensitive,word,109,,0,0,1,
dip,word,109,,0,0,1,
balm,word,107,,0,0,1,
spray,word,106,,0,0,1,
frozen,word,106,,0,0,1,
ice,word,105,,0,0,1,
sipper,word,105,,0,0,1,
cap,word,105,,0,0,1,
apple,word,104,,0,0,1,
filled,word,103,,0,0,1,
classic,word,102,,0,0,1,
dry,word,102,,0,0,1,
potato,word,102,,0,0,1,
mini,word,101,,0,0,1,
6,word,101,,0,0,1,
1,word,100,,0,0,1,
instant,word,100,,0,0,1,
deodorant,word,100,,0,0,1,
fresh,word,99,,0,0,1,
size,word,98,,0,0,1,
liquid,word,96,,0,0,1,
yoghurt,word,94,,0,0,1,
capsules,word,94,,0,0,1,
coconut,word,93,,0,0,1,
organic,word,93,,0,0,1,
wash,word,93,,0,0,1,
soup,word,92,,0,0,1,
block,word,92,,0,0,1,
dark,word,91,,0,0,1,
8,word,91,,0,0,1,
choc,word,91,,0,0,1,
roll,word,89,,0,0,1,
700ml,word,89,,0,0,1,
muesli,word,88,,0,0,1,
s,word,88,,0,0,1,
dog,word,88,,0,0,1,
months,word,88,,0,0,1,
relief,word,87,,0,0,1,
pasta,word,87,,0,0,1,
50,word,87,,0,0,1,
hair,word,85,,0,0,1,
biscuits,word,85,,0,0,1,
pinot,word,84,,0,0,1,
style,word,83,,0,0,1,
mix,word,82,,0,0,1,
pieces,word,82,,0,0,1,
3,word,82,,0,0,1,
cleaner,word,82,,0,0,1,
custard,word,82,,0,0,1,
10,word,81,,0,0,1,
kids,word,81,,0,0,1,
mango,word,80,,0,0,1,
lime,word,79,,0,0,1,
tea,word,79,,0,0,1,
baby,word,78,,0,0,1,
ultra,word,78,,0,0,1,
noodles,word,78,,0,0,1,
vitamin,word,77,,0,0,1,
tablets,word,76,,0,0,1,
sweet,word,76,,0,0,1,
multipack,word,76,,0,0,1,
men,word,76,,0,0,1,
care,word,75,,0,0,1,
flavour,word,75,,0,0,1,
spf,word,75,,0,0,1,
no,word,74,,0,0,1,
smooshed,word,74,,0,0,1,
salt,word,73,,0,0,1,
fruit,word,73,,0,0,1,
natural,word,73,,0,0,1,
honey,word,73,,0,0,1,
cans,word,73,,0,0,1,
sunscreen,word,73,,0,0,1,
tasty,word,72,,0,0,1,
chilli,word,72,,0,0,1,
shine,word,72,,0,0,1,
clean,word,71,,0,0,1,
gel,word,69,,0,0,1,
11,word,69,,0,0,1,
330ml,word,69,,0,0,1,
rose,word,68,,0,0,1,
dairy,word,68,,0,0,1,
c,word,67,,0,0,1,
creamy,word,67,,0,0,1,
garlic,word,66,,0,0,1,
adult,word,66,,0,0,1,
chip,word,66,,0,0,1,
cat,word,66,,0,0,1,
lotion,word,65,,0,0,1,
sauvignon,word,63,,0,0,1,
brownie,word,63,,0,0,1,
toothpaste,word,61,,0,0,1,
curry,word,61,,0,0,1,
orange,word,61,,0,0,1,
chewy,word,61,,0,0,1,
red,word,60,,0,0,1,
medium,word,60,,0,0,1,
strips,word,60,,0,0,1,
lollies,word,60,,0,0,1,
banana,word,59,,0,0,1,
super,word,57,,0,0,1,
le,word,57,,0,0,1,
juice,word,57,,0,0,1,
double,word,57,,0,0,1,
light,word,57,,0,0,1,
mountain,word,56,,0,0,1,
minute,word,56,,0,0,1,
pain,word,56,,0,0,1,
espresso,word,56,,0,0,1,
hot,word,55,,0,0,1,
gluten,word,55,,0,0,1,
fast,word,55,,0,0,1,
gold,word,54,,0,0,1,
tomato,word,54,,0,0,1,
smooth,word,54,,0,0,1,
shiraz,word,54,,0,0,1,
spf15,word,54,,0,0,1,
cacao,word,53,,0,0,1,
blast,word,53,,0,0,1,
piece,word,53,,0,0,1,
colour,word,53,,0,0,1,
grape,word,53,,0,0,1,
snak,word,53,,0,0,1,
4x500ml,word,52,,0,0,1,
4pk,word,52,,0,0,1,
paracetamol,word,51,,0,0,1,
wholefood,word,51,,0,0,1,
refill,word,50,,0,0,1,
powder,word,50,,0,0,1,
twitch,word,50,,0,0,1,
blanc,word,50,,0,0,1,
noir,word,50,,0,0,1,
gummies,word,49,,0,0,1,
corn,word,49,,0,0,1,
women,word,49,,0,0,1,
aerosol,word,47,,0,0,1,
hand,word,47,,0,0,1,
pizza,word,47,,0,0,1,
base,word,47,,0,0,1,
anti,word,47,,0,0,1,
repair,word,47,,0,0,1,
max,word,47,,0,0,1,
sparkling,word,47,,0,0,1,
pure,word,46,,0,0,1,
salted,word,46,,0,0,1,
skin,word,46,,0,0,1,
vegetable,word,46,,0,0,1,
laundry,word,46,,0,0,1,
lemonade,word,46,,0,0,1,
protect,word,46,,0,0,1,
sea,word,45,,0,0,1,
regular,word,45,,0,0,1,
