Term,Type,Freq,SuggestedCategoryId,IsBrand(0|1),MultiWord(0|1),Weight(1-10)
chocolate,word,727,21,0,0,8
milk,word,398,1,0,0,8
chicken,word,325,11,0,0,8
snack,word,218,22,0,0,8
coffee,word,203,15,0,0,8
cheese,word,197,10,0,0,8
snacks,word,188,22,0,0,8
rice,word,142,6,0,0,8
shampoo,word,142,8,0,0,8
conditioner,word,134,31,0,0,8
beef,word,132,12,0,0,8
water,word,116,25,0,0,8
apple,word,104,4,0,0,8
deodorant,word,100,33,0,0,8
pasta,word,87,7,0,0,6
biscuits,word,85,23,0,0,6
tea,word,79,16,0,0,6
toothpaste,word,61,5,0,0,6
juice,word,57,24,0,0,6
watermelon,word,45,25,0,0,5
pineapple,word,28,4,0,0,5
waterproof,word,28,25,0,0,5
yogurt,word,27,14,0,0,5
fish,word,22,13,0,0,5
bread,word,20,2,0,0,5
cereal,word,20,20,0,0,5
beer,word,16,18,0,0,5
biscuit,word,12,23,0,0,5
cheesecake,word,11,10,0,0,5
steak,word,10,16,0,0,5
caramilk,word,10,1,0,0,5
crispbread,word,10,2,0,0,5
cleaning,word,8,29,0,0,3
detergent,word,8,30,0,0,3
liquorice,word,8,6,0,0,3
wine,word,7,19,0,0,3
shortbread,word,6,2,0,0,3
eggs,word,5,3,0,0,3
milky,word,5,1,0,0,3
milk chocolate,bigram,273,21,0,1,9
snack share,bigram,178,22,0,1,9
chocolate snack,bigram,177,22,0,1,9
lunchbox snacks,bigram,161,22,0,1,9
soft drink,bigram,99,17,0,1,7
chocolate party,bigram,76,21,0,1,7
dark chocolate,bigram,63,21,0,1,7
dog food,bigram,59,37,0,1,7
tasty cheese,bigram,57,10,0,1,7
cat food,bigram,56,36,0,1,7
tea bags,bigram,56,16,0,1,7
ice cream,bigram,54,27,0,1,7
energy drink,bigram,54,26,0,1,7
peanut milk,bigram,50,1,0,1,7
chocolate muesli,bigram,50,21,0,1,7
coffee bags,bigram,50,15,0,1,7
chocolate bars,bigram,50,21,0,1,7
chocolate block,bigram,49,21,0,1,6
white chocolate,bigram,46,21,0,1,6
